@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
269,'2017/03/27 17:20:04:073',3,0,0,0,0,0,0,0,?,?
270,'2017/03/27 17:20:04:088',3,0,0,0,0,0,0,0,?,?
271,'2017/03/27 17:20:04:110',3,0,0,0,0,0,0,0,?,?
272,'2017/03/27 17:20:04:132',3,0,0,0,0,0,0,0,?,?
273,'2017/03/27 17:20:04:150',3,0,0,0,0,0,0,0,?,?
274,'2017/03/27 17:20:04:171',3,0,0,0,0,0,0,0,?,?
275,'2017/03/27 17:20:04:192',3,0,0,0,0,0,0,0,?,?
276,'2017/03/27 17:20:04:207',3,0,0,0,0,0,0,0,?,?
277,'2017/03/27 17:20:04:230',3,0,0,0,0,0,0,0,?,?
278,'2017/03/27 17:20:04:253',3,0,0,0,0,0,0,0,?,?
279,'2017/03/27 17:20:04:268',3,0,0,0,0,0,0,0,?,?
280,'2017/03/27 17:20:04:290',3,0,0,0,0,0,0,0,?,?
281,'2017/03/27 17:20:04:312',3,0,0,0,0,0,0,0,?,?
282,'2017/03/27 17:20:04:327',3,0,0,0,0,0,0,0,?,?
283,'2017/03/27 17:20:04:351',3,0,0,0,0,0,0,0,?,?
284,'2017/03/27 17:20:04:372',3,0,0,0,0,0,0,0,?,?
285,'2017/03/27 17:20:04:389',3,0,0,0,0,0,0,0,?,?
286,'2017/03/27 17:20:04:410',3,0,0,0,0,0,0,0,?,?
287,'2017/03/27 17:20:04:432',3,0,0,0,0,0,0,0,?,?
288,'2017/03/27 17:20:04:449',3,0,0,0,0,0,0,0,?,?
289,'2017/03/27 17:20:04:470',3,0,0,0,0,0,0,0,?,?
290,'2017/03/27 17:20:04:492',3,0,0,0,0,0,0,0,?,?
291,'2017/03/27 17:20:04:519',3,0,0,0,0,0,0,0,?,?
292,'2017/03/27 17:20:04:530',3,0,0,0,0,0,0,0,?,?
293,'2017/03/27 17:20:04:552',3,0,0,0,0,0,0,0,?,?
294,'2017/03/27 17:20:04:569',3,0,0,0,0,0,0,0,?,?
295,'2017/03/27 17:20:04:590',3,0,0,0,0,0,0,0,?,?
296,'2017/03/27 17:20:04:612',3,0,0,0,0,0,0,0,?,?
297,'2017/03/27 17:20:04:628',3,0,0,0,0,0,0,0,?,?
298,'2017/03/27 17:20:04:650',3,0,0,0,0,0,0,0,?,?
299,'2017/03/27 17:20:04:672',3,0,0,0,0,0,0,0,?,?
300,'2017/03/27 17:20:04:690',3,0,0,0,0,0,0,0,?,?
301,'2017/03/27 17:20:04:710',3,0,0,0,0,0,0,0,?,?
302,'2017/03/27 17:20:04:732',3,0,0,0,0,0,0,0,?,?
